question_id,P@5_baseline,R@5 (within top20)_baseline,rel_in_top5_baseline,rel_in_top20_baseline,P@5_v2,R@5 (within top20)_v2,rel_in_top5_v2,rel_in_top20_v2,delta_P@5,delta_R@5
q1,0.0,0.0,0,5,0.2,0.09090909090909091,1,11,0.2,0.09090909090909091
q10,0.0,0.0,0,2,0.0,0.0,0,2,0.0,0.0
q11,0.0,0.0,0,5,0.4,0.2857142857142857,2,7,0.4,0.2857142857142857
q12,0.2,0.16666666666666666,1,6,1.0,0.625,5,8,0.8,0.45833333333333337
q13,0.8,1.0,4,4,0.6,0.2727272727272727,3,11,-0.20000000000000007,-0.7272727272727273
q14,0.0,0.0,0,2,0.0,0.0,0,5,0.0,0.0
q15,0.0,0.0,0,5,0.2,0.25,1,4,0.2,0.25
q2,0.2,0.5,1,2,0.4,0.125,2,16,0.2,-0.375
q3,0.0,0.0,0,1,0.2,0.5,1,2,0.2,0.5
q4,0.0,0.0,0,4,0.2,0.3333333333333333,1,3,0.2,0.3333333333333333
q5,0.0,0.0,0,3,0.0,0.0,0,5,0.0,0.0
q6,0.2,0.5,1,2,0.2,0.1111111111111111,1,9,0.0,-0.3888888888888889
q7,0.0,0.0,0,2,0.0,0.0,0,0,0.0,0.0
q8,0.0,0.0,0,3,0.2,0.14285714285714285,1,7,0.2,0.14285714285714285
q9,0.0,0.0,0,4,0.4,0.3333333333333333,2,6,0.4,0.3333333333333333
